Difficulty,Letter,Word,Rank,Definition
,m,meticulous,23,
,m,militate,24,
,m,mirth,25,
,m,misanthrope,26,
,m,miscreant,27,
,m,miser,28,
,m,misnomer,29,
,m,missive,30,
,m,mitigate,31,
,m,mollify,32,
,m,molt,33,
,m,monastic,34,
,m,morass,35,
,m,moratorium,36,
,m,mores,37,
,m,morose,38,
,m,multifarious,39,
,m,mundane,40,
,m,munificent,41,
,m,myopic,42,
,p,pacify,1,to calm; to bring peace
,p,paean,2,a song of praise
,p,palatial,3,like a palace; magnificent
,p,palliate,4,to relieve or lessen
,p,pallid,5,pale; lacking energy
,p,panacea,6,"a cure for all diseases, or a solution to all problems"
,p,panache,7,"dashing style, flair, or manner"
Very High,p,panegyric,8,a formal expression of praise; published speech/text in praise of
Very High,p,panoply,9,complete or impressive array/collection
,p,paradox,10,a statement that contradicts itself but nevertheless may still be true
,p,paragon,11,a perfect example
,p,parenthetical,12,
,p,pariah,13,
,p,parley,14,
,p,parody,15,
,p,parry,16,
,p,parsimonious,17,
,p,partisan,18,
,p,pastiche,19,
,p,patriarch,20,
,p,paucity,21,
,p,peccadillo,22,
,p,pedagogical,23,
,p,pedantic,24,
,p,pejorative,25,
,p,penchant,26,
,p,penitent,27,
,p,penurious,28,
,p,peregrinate,29,
,p,perfidious,30,
,p,perfunctory,31,
,p,peripatetic,32,
,p,permeate,33,
,p,pernicious,34,
,p,perquisite,35,
,p,perspicacity,36,
,p,peruse,37,
,p,pervasive,38,
,p,petulant,39,
,p,phalanx,40,
,p,philanthropist,41,
,p,philistine,42,
,p,phlegmatic,43,
,p,picayune,44,
,p,pious,45,
,p,pith,46,
,p,pithy,47,
,p,placate,48,
,p,placid,49,
,p,platitude,50,
,p,plebeian,51,
,p,plethora,52,
,p,pliant,53,
,p,plucky,54,
,p,polemical,55,
,p,politic,56,
,p,polyglot,57,
,p,populist,58,
,p,posit,59,
,p,potentate,60,
,p,pragmatic,61,
,p,prattle,62,
,p,precipitate,63,
,p,precis,64,
,p,precocious,65,
,p,predilection,66,
,p,prescience,67,
,p,pretense,68,
,p,prevaricate,69,
,p,pristine,70,
,p,probity,71,
,p,proclivity,72,
,p,prodigal,73,
,p,prodigy,74,
,p,profligate,75,
,p,progenitor,76,
,p,proletarian,77,
,p,proliferate,78,
,p,propensity,79,
,p,propitiate,80,
,p,propriety,81,
,p,prosaic,82,
,p,proselytize,83,
,p,provincial,84,
,p,prudent,85,
,p,puerile,86,
,p,pugilist,87,
,p,pugnacious,88,
,p,pulchritude,89,
,p,punctilious,90,
,p,pundit,91,
,p,pungent,92,
,p,pusillanimous,93,
,p,putrefy,94,
,s,sacrosanct,1,sacred; not to be criticized
,s,sagacious,2,acutely insightful and wise
,s,sage,3,a person who is very wise
,s,salient,4,easily observable; prominent
,s,salubrious,5,healthy; wholesome
,s,sanctimonious,6,being hypocritically religious or righteous
,s,sanguine,7,confidently optimistic and cheerful
Very High,s,sardonic,8,characterize by bitter mocking; grimly mocking/cynical
,s,satiate,9,to fill to satisfaction
High,s,schism,10,division of a group into opposing factions
High,s,scintillating,11,brilliantly clever or flashy and exciting; shining brightly
,s,scoff,12,
,s,scrupulous,13,
,s,sedition,14,
,s,sedulous,15,
,s,sentient,16,
,s,seraphic,17,
,s,sibilant,18,
,s,sinecure,19,
,s,slake,20,
,s,sobriquet,21,
,s,solecism,22,
,s,solicitous,23,
,s,solvent,24,
,s,somnolent,25,
,s,sonorous,26,
,s,sophistry,27,
,s,soporific,28,
,S,Spartan,29,
,s,specious,30,
,s,spendthrift,31,
,s,sportive,32,
,s,spurious,33,
,s,squalid,34,
,s,stasis,35,
,s,stentorian,36,
,s,stevedore,37,
,s,stifle,38,
,s,stigma,39,
,s,stoic,40,
,s,stolid,41,
,s,stricture,42,
,s,stultify,43,
,s,stymie,44,
,s,sublime,45,
,s,subterfuge,46,
,s,subtle,47,
,s,subversive,48,
,s,succinct,49,
,s,sully,50,
,s,supercilious,51,
,s,superfluous,52,
,s,supplant,53,
,s,surfeit,54,
,s,surly,55,
,s,surreptitious,56,
,s,sybarite,57,
,s,symbiosis,58,
,s,sycophant,59,
,s,syncopated,60,
